tag,gen,idx,maxIter,fpsErr,gpuTimeMs,boundary,density,rank
EVAL,5,23,920,785.28,1.18304,3945,0.0774675,-1
EVAL,5,24,1054,975.454,0.96576,3887,0.079498,-1
EVAL,5,25,2383,378.289,2.2816,3516,0.0847407,-1
EVAL,5,26,336,2966.63,0.3304,4681,0.0707662,-1
EVAL,5,27,2328,389.511,2.22464,3518,0.0877051,-1
EVAL,5,28,464,2152.39,0.452,4562,0.0776482,-1
EVAL,5,29,470,2126.84,0.45728,4601,0.0789734,-1
EVAL,5,30,101,9226.78,0.10768,4839,0.052363,-1
EVAL,5,31,2288,397.473,2.18592,3609,0.0933249,-1
FRONT,5,0,66,13527,0.0736,3498,0.0268438,0
FRONT,5,1,1014,928.924,1.0112,3521,0.0666872,0
FRONT,5,2,532,1810.14,0.53472,3884,0.0617585,0
FRONT,5,3,4080,187.741,4.03648,2994,0.0733297,0
FRONT,5,4,64,13497.5,0.07376,3417,0.0260136,0
FRONT,5,5,3803,205.754,3.76288,3078,0.0731281,0
FRONT,5,6,182,5200.94,0.19008,4094,0.0474579,0
FRONT,5,7,865,1096.98,0.86432,3570,0.0658687,0
FRONT,5,8,993,844.879,1.10512,3547,0.0668502,0
FRONT,5,9,369,2649.15,0.36912,3953,0.0576679,0
FRONT,5,10,91,9892.23,0.10048,3775,0.0339928,0
FRONT,5,11,143,6350.26,0.156,4035,0.0432735,0
FRONT,5,12,436,2209.43,0.44064,3955,0.0603306,0
FRONT,5,13,2328,402.723,2.16112,3250,0.0724145,0
FRONT,5,14,2281,435.403,2.01856,3281,0.0729894,0
FRONT,5,15,257,3723.29,0.26432,4334,0.0552792,0
FRONT,5,16,772,1274.9,0.74912,3764,0.0685558,0
FRONT,5,17,490,2026.81,0.4792,4008,0.0651779,0
FRONT,5,18,4064,188.826,4.01888,3087,0.0779565,0
FRONT,5,19,2220,408.973,2.13232,3389,0.0773793,0
FRONT,5,20,201,4800.03,0.20576,4517,0.0558455,0
FRONT,5,21,498,1990.52,0.48768,4149,0.0692728,0
FRONT,5,22,67,12721.2,0.07824,4017,0.0330701,0
FRONT,5,23,920,785.28,1.18304,3945,0.0774675,0
FRONT,5,24,1054,975.454,0.96576,3887,0.079498,0
FRONT,5,25,2383,378.289,2.2816,3516,0.0847407,0
FRONT,5,26,336,2966.63,0.3304,4681,0.0707662,0
FRONT,5,27,2328,389.511,2.22464,3518,0.0877051,0
FRONT,5,28,464,2152.39,0.452,4562,0.0776482,0
FRONT,5,29,470,2126.84,0.45728,4601,0.0789734,0
FRONT,5,30,101,9226.78,0.10768,4839,0.052363,0
FRONT,5,31,2288,397.473,2.18592,3609,0.0933249,0
EVAL,6,0,970,1013.15,0.93184,4163,0.0901567,-1
EVAL,6,1,526,1867.82,0.51872,4741,0.0863042,-1
EVAL,6,2,520,1964.62,0.49392,4744,0.0877968,-1
EVAL,6,3,2243,414.455,2.10768,3695,0.0990068,-1
EVAL,6,4,2448,367.936,2.3368,3626,0.101018,-1
EVAL,6,5,2354,399.965,2.17408,3680,0.102668,-1
EVAL,6,6,85,10866.6,0.09152,5111,0.0577679,-1
EVAL,6,7,998,983.232,0.95856,4316,0.10092,-1
EVAL,6,8,182,5389,0.18352,5556,0.080208,-1
EVAL,6,9,182,5466.08,0.18096,5582,0.0816666,-1
EVAL,6,10,449,2123.79,0.45792,5017,0.0979448,-1
EVAL,6,11,3803,226.316,3.49264,3346,0.112742,-1
EVAL,6,12,143,6876.74,0.14416,5622,0.0803498,-1
EVAL,6,13,571,1799.01,0.53792,4877,0.105343,-1
EVAL,6,14,295,3110.98,0.31536,5561,0.0979696,-1
EVAL,6,15,101,9467.44,0.10496,5562,0.0750492,-1
EVAL,6,16,3859,222.601,3.53856,3425,0.120919,-1
EVAL,6,17,182,5560.5,0.17792,5865,0.093264,-1
EVAL,6,18,67,13616.1,0.07312,5379,0.0654018,-1
EVAL,6,19,4096,206.195,3.75664,3493,0.125964,-1
EVAL,6,20,919,1139.16,0.83392,4676,0.120986,-1
EVAL,6,21,101,9555.38,0.104,5860,0.0836971,-1
EVAL,6,22,64,14242.1,0.06992,5547,0.0689765,-1
EVAL,6,23,181,5590.99,0.17696,6157,0.102682,-1
EVAL,6,24,4064,218.458,3.5912,3498,0.134088,-1
EVAL,6,25,103,8718.09,0.11392,5995,0.0902439,-1
EVAL,6,26,436,2454.08,0.39776,5624,0.123096,-1
EVAL,6,27,230,4573.06,0.21584,6341,0.114218,-1
EVAL,6,28,195,5281.88,0.1872,6340,0.113985,-1
EVAL,6,29,920,1182.79,0.80464,4886,0.137694,-1
EVAL,6,30,2416,407.499,2.13904,3946,0.144524,-1
EVAL,6,31,318,3347.85,0.29344,6108,0.128517,-1
FRONT,6,0,970,1013.15,0.93184,4163,0.0901567,0
FRONT,6,1,526,1867.82,0.51872,4741,0.0863042,0
FRONT,6,2,520,1964.62,0.49392,4744,0.0877968,0
FRONT,6,3,2243,414.455,2.10768,3695,0.0990068,0
FRONT,6,4,2448,367.936,2.3368,3626,0.101018,0
FRONT,6,5,2354,399.965,2.17408,3680,0.102668,0
FRONT,6,6,85,10866.6,0.09152,5111,0.0577679,0
FRONT,6,7,998,983.232,0.95856,4316,0.10092,0
FRONT,6,8,182,5389,0.18352,5556,0.080208,0
FRONT,6,9,182,5466.08,0.18096,5582,0.0816666,0
FRONT,6,10,449,2123.79,0.45792,5017,0.0979448,0
FRONT,6,11,3803,226.316,3.49264,3346,0.112742,0
FRONT,6,12,143,6876.74,0.14416,5622,0.0803498,0
FRONT,6,13,571,1799.01,0.53792,4877,0.105343,0
FRONT,6,14,295,3110.98,0.31536,5561,0.0979696,0
FRONT,6,15,101,9467.44,0.10496,5562,0.0750492,0
FRONT,6,16,3859,222.601,3.53856,3425,0.120919,0
FRONT,6,17,182,5560.5,0.17792,5865,0.093264,0
FRONT,6,18,67,13616.1,0.07312,5379,0.0654018,0
